5;6064428;850407;D;0
5;6064428;850407;D;50000
7;6237922;840429;C;2062500
7;6237922;840501;D;2000000
7;6237922;850507;C;3093750
10;6064434;840413;C;4842900
10;6064434;840422;D;5000000
10;6064434;850428;C;7178730
10;6064434;850606;D;7400000
15;6000111;840601;C;400000
15;6000111;840924;C;50000
15;6000111;841210;C;50000
15;6000111;850131;C;100000
17;6414293;850516;C;5000000
17;6414293;850604;D;3000000
33;6235345;840422;C;100000
33;6235345;840518;C;400000
33;6235345;850329;D;499000
34;6237935;840429;C;2062500
34;6237935;850507;C;3093750
40;6388879;850417;C;2000000
40;6388879;850523;D;1900000
45;6000182;840523;C;100000
52;6000217;840218;C;50000
52;6000217;850129;C;400000
52;6000217;850514;D;0
52;6000217;850514;D;500000
57;6064495;840413;C;96862950
57;6064495;840512;D;96800000
57;6064495;850428;C;133321780
57;6064495;850502;D;133440000
62;6000271;840614;D;100000
62;6000271;840711;C;500000
62;6000271;850123;D;500000
103;6000737;840717;C;1050000
104;6000654;840123;D;1500000
105;6001037;840226;C;22000000
105;6001037;840308;C;25000000
105;6001037;840311;D;2000000
105;6001037;840322;D;3000000
105;6001037;840405;D;2000000
105;6001037;840415;C;5000000
105;6001037;840425;D;43035000
105;6001037;840502;D;2000000
105;6001037;840526;D;1000000
105;6001037;840526;C;31000000
105;6001037;840607;D;30000000
107;6000948;840607;C;1000000
107;6000948;850528;C;1000000
108;6000764;850329;D;2100000
108;6000764;850329;C;2100000
122;6000528;840413;C;9686250
122;6000528;840414;D;8000000
122;6000528;840501;D;1700000
122;6000528;840531;C;500000
122;6000528;850428;C;20432990
122;6000528;850429;D;20500000
126;6064539;840413;C;900000
126;6064539;840709;C;2100000
126;6064539;840710;D;3000000
126;6064539;850428;C;1350000
143;6238008;840429;C;6675000
143;6238008;841011;D;6670000
143;6238008;850507;C;10687500
143;6238008;850514;D;10600000
146;6229380;840413;C;789750
152;6237785;840429;C;1668680
152;6237785;840620;D;1600000
152;6237785;841012;C;3000000
152;6237785;841115;D;2000000
152;6237785;850117;D;1000000
152;6237785;850507;C;2671800
152;6237785;850510;D;2750000
152;6237785;850510;C;10000
161;6001208;840107;D;1000000
161;6001208;840109;C;13000000
161;6001208;840117;D;18000000
161;6001208;840124;C;8000000
161;6001208;840131;C;3800000
161;6001208;840131;C;500000
161;6001208;840213;D;10000000
161;6001208;840323;D;2500000
161;6001208;840413;C;5157900
161;6001208;840421;D;5000000
161;6001208;841005;C;2000000
161;6001208;841008;D;2000000
187;6229371;840413;C;1949400
187;6229371;840515;D;1900000
236;6237900;840429;C;2062500
236;6237900;850121;D;2062000
236;6237900;850507;C;3093750
237;6300982;840913;C;16133237
237;6300982;850325;C;1000000
242;6001602;841223;D;3375112
242;6001602;841223;C;3380000
244;6001455;841124;D;300000
247;6001475;840116;D;850000
247;6001475;840116;C;850000
247;6001475;840211;C;850000
247;6001475;840218;D;852000
247;6001475;840304;C;850000
247;6001475;840405;D;200000
247;6001475;840405;C;1000000
247;6001475;840412;D;1704000
247;6001475;840728;C;2000000
247;6001475;840808;D;1700000
247;6001475;841005;C;1500000
247;6001475;841018;D;1500000
247;6001475;841019;D;460272
247;6001475;841019;C;60000
247;6001475;841019;C;80000
247;6001475;850306;D;2000000
247;6001475;850306;C;2000000
251;6001489;840114;D;852000
251;6001489;840116;D;0
251;6001489;840116;D;100000
257;6087185;840518;D;1000000
257;6087185;840626;D;150000
262;6001563;840919;D;401150
262;6001563;840919;C;400000
262;6001563;850508;D;0
262;6001563;850508;D;24050
264;6364788;850219;C;500000
264;6364788;850516;D;500000
267;6001603;840714;C;150000
267;6001603;840808;D;500000
267;6001603;841022;D;300000
267;6001603;850304;C;280000
267;6001603;850304;D;1226022
267;6001603;850304;C;1220000
267;6001603;850413;D;378245
270;6004635;840413;C;6347700
270;6004635;840414;D;6347700
270;6004635;850428;C;9435930
270;6004635;850429;C;2097360
270;6004635;850510;D;11480000
278;6064635;840107;D;500000
278;6064635;840413;C;4500000
278;6064635;840426;D;4500000
278;6064635;850428;C;6750000
312;6108183;840303;D;3500000
312;6108183;840303;C;3500000
312;6108183;840414;D;5000000
312;6108183;840414;C;5000000
312;6108183;841027;D;10299444
312;6108183;841027;C;10300000
314;6001971;840930;C;2499999
314;6001971;841010;D;2499999
321;6064659;840413;C;4842900
321;6064659;840601;C;500000
321;6064659;840714;D;4900000
321;6064659;840910;C;16133237
321;6064659;840919;D;12000000
321;6064659;840919;D;4000000
327;6004777;840413;C;6053850
327;6004777;840601;D;6000000
327;6004777;840702;D;60000
327;6004777;850428;C;8973610
327;6004777;850504;D;9000000
340;6002163;840115;D;852000
340;6002163;840212;C;852000
340;6002163;840214;D;852000
340;6002163;840304;C;852000
340;6002163;840323;D;852000
340;6002163;840406;C;852000
340;6002163;840422;D;852000
340;6002163;840509;C;852000
340;6002163;840519;D;852000
340;6002163;840614;C;852000
340;6002163;840627;D;852000
340;6002163;840710;C;852000
340;6002163;840717;D;852000
340;6002163;840905;C;852000
340;6002163;840913;C;852000
340;6002163;840926;D;1704000
341;6229332;840413;C;927000
341;6229332;840415;D;870000
341;6229332;840429;C;7676180
341;6229332;840504;D;7675000
341;6229332;850507;C;12290550
341;6229332;850508;D;12344000
350;6002241;850203;D;0
354;6301005;840913;C;26984
358;6237906;840429;C;2062500
358;6237906;850507;C;3093750
375;6002424;841203;C;300000
375;6002424;850203;C;300000
375;6002424;850231;D;600000
375;6002424;850306;C;300000
375;6002424;850313;D;350000
385;6064705;840413;C;9000000
385;6064705;840707;D;9000000
385;6064705;850428;C;13500000
397;6002575;840612;D;100000
397;6002575;841214;D;38000
397;6002575;841214;D;404596
397;6002575;841214;C;405000
402;6237772;840429;C;5562500
402;6237772;841003;C;1000000
402;6237772;850507;C;8906250
426;6002727;840801;D;10826722
426;6002727;840829;D;0
426;6002727;840829;D;100000
471;6064751;840413;C;1800000
471;6064751;840523;D;1800000
471;6064751;850428;C;2700000
474;6002933;850304;D;0
474;6002933;850304;D;50000
482;6002970;841208;D;0
482;6002970;841208;D;27680
482;6002970;841208;D;21176639
482;6002970;841208;C;21000000
510;6004805;840131;C;60000
